                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.76817,                 1.0598,                 1.1752,                0.70252,                0.53725,                0.54526,                0.44491,                0.72919,                 1.3078,                 1.1671,             0.00093282,             0.00093282,             0.00093282
                     84,                 0.7442,                 1.0198,                 1.1474,                0.63667,                0.61174,                0.61446,                0.50811,                0.68639,                  1.429,                 1.0995,             0.00093062,             0.00093062,             0.00093062
                     85,                0.72002,                  1.018,                 1.1391,                0.67202,                0.53379,                0.59445,                0.47322,                0.71571,                 1.3662,                 1.1207,             0.00092842,             0.00092842,             0.00092842
                     86,                0.76022,                 1.0368,                  1.166,                0.70289,                0.52187,                0.56824,                0.46755,                0.71522,                  1.474,                 1.1292,             0.00092622,             0.00092622,             0.00092622
                     87,                0.69397,                 1.0176,                 1.1216,                0.63832,                0.55735,                0.49757,                0.40822,                0.69578,                 1.4008,                  1.116,             0.00092402,             0.00092402,             0.00092402
                     88,                0.73394,                0.97072,                 1.1386,                0.78105,                0.53854,                0.57002,                0.46055,                0.74427,                 1.3684,                 1.1422,             0.00092182,             0.00092182,             0.00092182
                     89,                0.72768,                 1.0057,                 1.1301,                0.66142,                0.53173,                0.54455,                0.44396,                0.68955,                 1.4244,                 1.0866,             0.00091962,             0.00091962,             0.00091962
                     90,                0.72765,                 0.9896,                 1.1341,                0.60332,                0.62166,                0.62712,                0.51644,                0.68157,                 1.4287,                 1.0951,             0.00091742,             0.00091742,             0.00091742
                     91,                0.76109,                0.99317,                 1.1642,                0.62592,                0.60501,                0.59801,                 0.4808,                0.70719,                 1.3897,                 1.0962,             0.00091522,             0.00091522,             0.00091522
                     92,                0.72179,                 0.9661,                 1.1133,                0.44426,                0.69774,                0.58714,                0.46755,                0.69339,                  1.525,                 1.0975,             0.00091302,             0.00091302,             0.00091302
                     93,                0.69557,                0.98163,                 1.1229,                 0.5367,                0.62456,                0.55962,                0.43834,                 0.7633,                 1.4849,                 1.2207,             0.00091082,             0.00091082,             0.00091082
                     94,                0.70909,                0.93664,                  1.119,                0.76033,                0.53045,                0.59145,                0.47577,                0.73463,                 1.3152,                 1.1505,             0.00090862,             0.00090862,             0.00090862
                     95,                0.70938,                0.93844,                 1.1123,                0.44077,                0.60554,                0.57332,                0.46201,                0.73922,                 1.5618,                 1.1544,             0.00090642,             0.00090642,             0.00090642
                     96,                0.72067,                0.92155,                 1.1248,                0.79118,                0.49165,                0.57111,                0.45728,                 0.7329,                 1.2544,                 1.1145,             0.00090422,             0.00090422,             0.00090422
                     97,                0.68998,                0.94591,                 1.1004,                0.80374,                0.53325,                0.60816,                0.47627,                0.72174,                 1.4574,                  1.131,             0.00090202,             0.00090202,             0.00090202
                     98,                0.67397,                0.90435,                 1.1007,                0.80839,                0.48029,                0.55317,                0.43966,                0.72038,                 1.5878,                 1.1354,             0.00089982,             0.00089982,             0.00089982
                     99,                0.70976,                0.90277,                 1.1175,                0.69768,                0.54384,                0.55723,                0.45092,                0.71982,                  1.455,                  1.105,             0.00089762,             0.00089762,             0.00089762
                    100,                0.70023,                0.87814,                 1.1156,                0.46696,                0.63581,                0.61285,                0.49106,                 0.6847,                 1.7223,                 1.0917,             0.00089542,             0.00089542,             0.00089542
                    101,                0.68421,                0.92096,                 1.1038,                0.46094,                0.76745,                0.60905,                0.49449,                0.69224,                 1.6427,                 1.0895,             0.00089322,             0.00089322,             0.00089322
                    102,                0.68551,                0.91303,                 1.1004,                0.77937,                0.49815,                 0.5985,                0.47604,                0.73388,                 1.6564,                 1.1535,             0.00089102,             0.00089102,             0.00089102
                    103,                0.66386,                0.84168,                 1.0859,                0.73473,                0.58357,                0.61102,                0.49635,                0.66849,                 1.4105,                  1.073,             0.00088882,             0.00088882,             0.00088882
                    104,                 0.6736,                 0.8727,                  1.099,                0.43875,                 0.5789,                0.54293,                0.44433,                0.73246,                 1.7359,                 1.1271,             0.00088662,             0.00088662,             0.00088662
                    105,                0.65821,                0.88173,                 1.0929,                 0.4584,                0.65228,                0.59025,                0.47814,                0.74305,                 1.2222,                 1.1749,             0.00088442,             0.00088442,             0.00088442
                    106,                0.69775,                0.91224,                  1.102,                0.51237,                 0.5266,                0.55707,                0.44795,                0.74798,                 1.4896,                 1.1454,             0.00088222,             0.00088222,             0.00088222
                    107,                0.68885,                0.89629,                 1.1166,                0.49089,                0.67031,                0.60668,                0.49654,                0.70769,                 1.3832,                 1.0903,             0.00088002,             0.00088002,             0.00088002
                    108,                 0.6742,                 0.8563,                 1.1103,                0.70967,                0.58179,                0.59277,                0.46562,                0.74359,                 1.7853,                 1.1705,             0.00087782,             0.00087782,             0.00087782
                    109,                0.68501,                0.86612,                 1.0956,                0.56883,                0.64533,                0.60788,                0.47032,                0.71562,                 1.4106,                 1.1597,             0.00087562,             0.00087562,             0.00087562
                    110,                0.68758,                0.86337,                 1.1078,                0.60014,                0.65301,                0.65072,                0.51196,                0.69037,                  1.284,                 1.1037,             0.00087342,             0.00087342,             0.00087342
                    111,                0.68228,                0.86998,                 1.1026,                0.41581,                0.68325,                0.59351,                0.48234,                0.68699,                 1.2353,                 1.1171,             0.00087122,             0.00087122,             0.00087122
                    112,                0.67017,                0.85259,                 1.0964,                0.71826,                  0.466,                0.56609,                0.45551,                0.70298,                 1.4673,                 1.1188,             0.00086902,             0.00086902,             0.00086902
                    113,                0.66356,                0.85041,                 1.0927,                0.64127,                0.51777,                0.62308,                0.49214,                0.68751,                 1.3962,                 1.0932,             0.00086682,             0.00086682,             0.00086682
                    114,                0.70113,                0.90641,                 1.1113,                0.55797,                0.62833,                0.63989,                0.53176,                0.67642,                  1.306,                 1.0796,             0.00086462,             0.00086462,             0.00086462
                    115,                0.65703,                0.81233,                  1.102,                0.53081,                0.64096,                0.59494,                 0.4628,                0.72389,                 1.7429,                 1.1576,             0.00086242,             0.00086242,             0.00086242
                    116,                0.65768,                0.85735,                 1.0868,                0.47961,                0.53454,                0.53925,                0.44646,                0.73058,                 1.2961,                  1.167,             0.00086023,             0.00086023,             0.00086023
                    117,                0.63646,                0.79398,                 1.0814,                  0.432,                0.64393,                 0.5936,                0.48429,                0.68989,                 1.3666,                 1.1196,             0.00085803,             0.00085803,             0.00085803
                    118,                0.66394,                0.85223,                 1.0982,                0.71209,                0.47878,                0.51314,                0.40734,                0.82318,                 1.3277,                 1.3183,             0.00085583,             0.00085583,             0.00085583
                    119,                0.68985,                0.84831,                 1.0874,                0.71298,                0.57639,                0.61826,                0.48817,                0.72736,                 1.4394,                 1.1383,             0.00085363,             0.00085363,             0.00085363
                    120,                0.64697,                0.86136,                 1.0729,                0.50645,                0.64165,                0.61501,                0.48564,                0.75124,                  1.087,                 1.1583,             0.00085143,             0.00085143,             0.00085143
                    121,                0.64761,                0.86487,                 1.0791,                 0.4578,                 0.6005,                0.59321,                0.47395,                0.72598,                 1.1061,                 1.1397,             0.00084923,             0.00084923,             0.00084923
                    122,                0.65419,                0.82821,                 1.0768,                0.76196,                0.53608,                0.60169,                0.48329,                0.67519,                  1.462,                 1.0912,             0.00084703,             0.00084703,             0.00084703
                    123,                0.65229,                0.78168,                 1.0762,                0.73937,                0.62916,                 0.7331,                0.58066,                 0.6879,                 1.4199,                 1.0905,             0.00084483,             0.00084483,             0.00084483
                    124,                 0.6478,                 0.8005,                 1.0832,                0.52571,                0.55943,                0.56582,                0.46433,                0.68462,                 1.3765,                 1.1281,             0.00084263,             0.00084263,             0.00084263
                    125,                0.64069,                0.79796,                 1.0796,                0.47741,                0.55919,                0.60122,                0.49664,                 0.6651,                 1.5287,                 1.0802,             0.00084043,             0.00084043,             0.00084043
                    126,                0.61993,                0.76683,                   1.07,                0.49484,                0.54956,                0.57827,                0.47139,                0.66204,                 1.4129,                 1.0754,             0.00083823,             0.00083823,             0.00083823
                    127,                0.64312,                0.79177,                 1.0631,                0.53062,                0.51329,                0.58044,                0.47004,                0.67846,                 1.3933,                 1.0969,             0.00083603,             0.00083603,             0.00083603
                    128,                 0.6185,                0.75755,                  1.068,                 0.5067,                0.61979,                0.61044,                0.48232,                0.69098,                 1.1652,                 1.1521,             0.00083383,             0.00083383,             0.00083383
                    129,                0.63999,                0.76696,                 1.0674,                0.54477,                0.66883,                0.62315,                 0.5069,                0.67538,                  1.101,                 1.0866,             0.00083163,             0.00083163,             0.00083163
                    130,                0.61248,                0.75442,                 1.0614,                0.59069,                0.49953,                  0.604,                0.50313,                0.69824,                 1.6107,                 1.1539,             0.00082943,             0.00082943,             0.00082943
                    131,                0.59435,                0.73961,                 1.0611,                0.68391,                 0.5419,                0.57696,                0.47515,                0.66286,                 1.1785,                 1.1025,             0.00082723,             0.00082723,             0.00082723
                    132,                0.61898,                0.77101,                 1.0603,                0.50773,                0.56265,                0.57961,                0.48056,                0.72102,                 1.4826,                 1.1608,             0.00082503,             0.00082503,             0.00082503
                    133,                0.60969,                0.79292,                  1.059,                0.56964,                0.52362,                0.58992,                0.47678,                0.73012,                 1.2343,                 1.1749,             0.00082283,             0.00082283,             0.00082283
                    134,                0.61214,                0.76923,                  1.065,                0.59085,                0.54545,                0.62934,                0.51684,                0.67971,                 1.1636,                 1.1109,             0.00082063,             0.00082063,             0.00082063
                    135,                0.64876,                 0.7652,                 1.0753,                0.58265,                0.61106,                0.61125,                0.48221,                 0.7266,                 1.4604,                 1.1467,             0.00081843,             0.00081843,             0.00081843
                    136,                0.61642,                0.73352,                 1.0709,                0.62759,                0.67415,                0.64387,                0.51403,                0.72177,                   1.38,                 1.1244,             0.00081623,             0.00081623,             0.00081623
                    137,                0.59792,                0.74061,                  1.058,                0.53561,                0.59717,                0.63073,                0.50536,                0.69468,                 1.7188,                 1.1495,             0.00081403,             0.00081403,             0.00081403
                    138,                0.60945,                0.75509,                 1.0509,                0.79986,                0.51502,                0.61613,                 0.4997,                0.67041,                 1.2747,                  1.101,             0.00081183,             0.00081183,             0.00081183
                    139,                0.58268,                0.72773,                 1.0424,                0.59568,                0.56523,                0.67203,                0.55492,                0.64969,                0.97513,                 1.0765,             0.00080963,             0.00080963,             0.00080963
                    140,                0.60353,                 0.7255,                  1.055,                0.60562,                0.50382,                0.61205,                0.48958,                0.68513,                 1.1834,                 1.1386,             0.00080743,             0.00080743,             0.00080743
