                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
126,0.57148,0.50841,1.0799,0.73623,0.70631,0.74209,0.59265,0.78344,0.79897,1.2919,0.0075448,0.0075448,0.0075448,0.7209597117584261
127,0.56891,0.50445,1.0797,0.76052,0.69752,0.75427,0.603,0.78112,0.77658,1.2851,0.007525,0.007525,0.007525,0.7276589262297332
128,0.57277,0.51619,1.0865,0.71851,0.72772,0.75174,0.59449,0.79207,0.77969,1.2963,0.0075052,0.0075052,0.0075052,0.7230856740629085
129,0.57069,0.50267,1.0802,0.73346,0.71281,0.75971,0.60631,0.77952,0.76149,1.2849,0.0074854,0.0074854,0.0074854,0.7229875785295968
130,0.5625,0.49904,1.0748,0.72328,0.72402,0.75784,0.60437,0.78098,0.77678,1.2936,0.0074656,0.0074656,0.0074656,0.7236498108201478
131,0.55725,0.49838,1.0669,0.74777,0.71536,0.75919,0.60225,0.7891,0.79541,1.2976,0.0074458,0.0074458,0.0074458,0.7312060407482589
132,0.56402,0.48523,1.0741,0.7444,0.70062,0.75222,0.59894,0.78067,0.79553,1.2865,0.007426,0.007426,0.007426,0.7218467952000664
133,0.55681,0.47781,1.0651,0.75121,0.71702,0.75869,0.60411,0.78145,0.794,1.2901,0.0074062,0.0074062,0.0074062,0.7337169165593945
134,0.57069,0.48592,1.0756,0.75638,0.70878,0.75829,0.60578,0.76916,0.80802,1.2662,0.0073864,0.0073864,0.0073864,0.7318067875180868
135,0.55854,0.4877,1.0666,0.76314,0.7173,0.75644,0.60469,0.76904,0.80965,1.2733,0.0073666,0.0073666,0.0073666,0.7395103104482451
136,0.56151,0.48984,1.0704,0.74949,0.71522,0.75382,0.60338,0.76211,0.7953,1.2607,0.0073468,0.0073468,0.0073468,0.7319540902977381
137,0.5525,0.48286,1.06,0.74265,0.70944,0.75457,0.60317,0.77541,0.79977,1.2851,0.007327,0.007327,0.007327,0.7256652356258909
138,0.56092,0.48197,1.0721,0.74756,0.70197,0.75884,0.60676,0.77689,0.81904,1.2871,0.0073072,0.0073072,0.0073072,0.7240480613716169
139,0.55038,0.47264,1.0689,0.74699,0.70932,0.75675,0.60752,0.76647,0.80839,1.2679,0.0072874,0.0072874,0.0072874,0.7276677998503066
140,0.54901,0.48739,1.0667,0.76704,0.69438,0.75177,0.60632,0.76622,0.79902,1.2817,0.0072676,0.0072676,0.0072676,0.7289037172065526
141,0.54858,0.4828,1.069,0.78996,0.6776,0.75813,0.60544,0.76761,0.79291,1.2879,0.0072478,0.0072478,0.0072478,0.7294787211425767
